firstName,lastName,gender,wikia,seasonId
Domenick,Abbate,male,http://survivor.wikia.com/wiki/Domenick_Abbate,36
Nina,Acosta,female,http://survivor.wikia.com/wiki/Nina_Acosta,24
Garrett,Adelstein,male,http://survivor.wikia.com/wiki/Garrett_Adelstein,28
Desiree,Afuye,female,http://survivor.wikia.com/wiki/Desiree_Afuye,36
Ryan,Aiken,male,http://survivor.wikia.com/wiki/Ryan_Aiken,6
Rachel,Ako,female,http://survivor.wikia.com/wiki/Rachel_Ako,33
Laura,Alexander,female,http://survivor.wikia.com/wiki/Laura_Alexander,26
B.B.,Andersen,male,http://survivor.wikia.com/wiki/B.B._Andersen,1
Joel,Anderson,male,http://survivor.wikia.com/wiki/Joel_Anderson,16
Nadiya,Anderson,female,http://survivor.wikia.com/wiki/Nadiya_Anderson,29
Natalie,Anderson,female,http://survivor.wikia.com/wiki/Natalie_Anderson,29
Alex,Angarita,male,http://survivor.wikia.com/wiki/Alex_Angarita,14
Joe,Anglim,male,http://survivor.wikia.com/wiki/Joe_Anglim,30
Joe,Anglim,male,http://survivor.wikia.com/wiki/Joe_Anglim,31
Shii,Ann Huang,female,http://survivor.wikia.com/wiki/Shii_Ann_Huang,5
Shii,Ann Huang,female,http://survivor.wikia.com/wiki/Shii_Ann_Huang,8
Tyson,Apostol,male,http://survivor.wikia.com/wiki/Tyson_Apostol,18
Tyson,Apostol,male,http://survivor.wikia.com/wiki/Tyson_Apostol,20
Tyson,Apostol,male,http://survivor.wikia.com/wiki/Tyson_Apostol,27
Coby,Archa,male,http://survivor.wikia.com/wiki/Coby_Archa,10
Ashlee,Ashby,female,http://survivor.wikia.com/wiki/Ashlee_Ashby,10
Peter,Baggenstos,male,http://survivor.wikia.com/wiki/Peter_Baggenstos,32
Randy,Bailey,male,http://survivor.wikia.com/wiki/Randy_Bailey,17
Randy,Bailey,male,http://survivor.wikia.com/wiki/Randy_Bailey,20
Alan,Ball,male,http://survivor.wikia.com/wiki/Alan_Ball,35
Dave,Ball,male,http://survivor.wikia.com/wiki/Dave_Ball,19
Caleb,Bankston,male,http://survivor.wikia.com/wiki/Caleb_Bankston,27
Dan,Barry,male,http://survivor.wikia.com/wiki/Dan_Barry,12
Aras,Baskauskas,male,http://survivor.wikia.com/wiki/Aras_Baskauskas,12
Aras,Baskauskas,male,http://survivor.wikia.com/wiki/Aras_Baskauskas,27
Vytas,Baskauskas,male,http://survivor.wikia.com/wiki/Vytas_Baskauskas,27
Vytas,Baskauskas,male,http://survivor.wikia.com/wiki/Vytas_Baskauskas,31
Kellyn,Bechtold,female,http://survivor.wikia.com/wiki/Kellyn_Bechtold,36
Debbie,Beebe,female,http://survivor.wikia.com/wiki/Debbie_Beebe,18
Dirk,Been,male,http://survivor.wikia.com/wiki/Dirk_Been,1
Jill,Behm,female,http://survivor.wikia.com/wiki/Jill_Behm,21
Alex,Bell,male,http://survivor.wikia.com/wiki/Alex_Bell,6
Jean-Robert,Bellande,male,http://survivor.wikia.com/wiki/Jean-Robert_Bellande,15
Brandon,Bellinger,male,http://survivor.wikia.com/wiki/Brandon_Bellinger,11
Deena,Bennett,female,http://survivor.wikia.com/wiki/Deena_Bennett,6
Jacquie,Berg,female,http://survivor.wikia.com/wiki/Jacquie_Berg,17
Boo,Bernis,male,http://survivor.wikia.com/wiki/Boo_Bernis,14
Julie,Berry,female,http://survivor.wikia.com/wiki/Julie_Berry,9
Sherri,Biethman,female,http://survivor.wikia.com/wiki/Sherri_Biethman,26
Carl,Bilancione,male,http://survivor.wikia.com/wiki/Carl_Bilancione,3
