firstName,lastName,gender,wikia,seasons
Aaron,Reisberger,male,http://survivor.wikia.com/wiki/Aaron_Reisberger,15
Abi-Maria,Gomes,female,http://survivor.wikia.com/wiki/Abi-Maria_Gomes,"25, 31"
Ace,Gordon,male,http://survivor.wikia.com/wiki/Ace_Gordon,17
Adam,Gentry,male,http://survivor.wikia.com/wiki/Adam_Gentry,13
Adam,Klein,male,http://survivor.wikia.com/wiki/Adam_Klein,33
Alan,Ball,male,http://survivor.wikia.com/wiki/Alan_Ball,35
Albert,Destrade,male,http://survivor.wikia.com/wiki/Albert_Destrade,23
Alec,Christy,male,http://survivor.wikia.com/wiki/Alec_Christy,29
Alecia,Holden,female,http://survivor.wikia.com/wiki/Alecia_Holden,32
Alex,Angarita,male,http://survivor.wikia.com/wiki/Alex_Angarita,14
Alex,Bell,male,http://survivor.wikia.com/wiki/Alex_Bell,6
Alexis,Jones,female,http://survivor.wikia.com/wiki/Alexis_Jones,16
Alexis,Maxwell,female,http://survivor.wikia.com/wiki/Alexis_Maxwell,28
Ali,Elliott,female,http://survivor.wikia.com/wiki/Ali_Elliott,35
Alicia,Calaway,female,http://survivor.wikia.com/wiki/Alicia_Calaway,"2, 8"
Alicia,Rosa,female,http://survivor.wikia.com/wiki/Alicia_Rosa,24
Alina,Wilson,female,http://survivor.wikia.com/wiki/Alina_Wilson,21
Allie,Pohevitz,female,http://survivor.wikia.com/wiki/Allie_Pohevitz,26
Amanda,Kimmel,female,http://survivor.wikia.com/wiki/Amanda_Kimmel,"15, 16, 20"
Amber,Brkich,female,http://survivor.wikia.com/wiki/Amber_Brkich,"2, 8"
Ami,Cusack,female,http://survivor.wikia.com/wiki/Ami_Cusack,"9, 16"
Amy,O'Hara,female,http://survivor.wikia.com/wiki/Amy_O%27Hara,11
Andrea,Boehlke,female,http://survivor.wikia.com/wiki/Andrea_Boehlke,"22, 26, 34"
Andrew,Savage,male,http://survivor.wikia.com/wiki/Andrew_Savage,"7, 31"
Angela,Perkins,female,http://survivor.wikia.com/wiki/Angela_Perkins,36
Angie,Jakusz,female,http://survivor.wikia.com/wiki/Angie_Jakusz,10
Angie,Layton,female,http://survivor.wikia.com/wiki/Angie_Layton,25
Anna,Khait,female,http://survivor.wikia.com/wiki/Anna_Khait,32
Anthony,Robinson,male,http://survivor.wikia.com/wiki/Anthony_Robinson,14
Aras,Baskauskas,male,http://survivor.wikia.com/wiki/Aras_Baskauskas,"12, 27"
Artis,Silvester,male,http://survivor.wikia.com/wiki/Artis_Silvester,25
Ashlee,Ashby,female,http://survivor.wikia.com/wiki/Ashlee_Ashby,10
Ashley,Massaro,female,http://survivor.wikia.com/wiki/Ashley_Massaro,15
Ashley,Nolan,female,http://survivor.wikia.com/wiki/Ashley_Nolan,35
Ashley,Trainer,female,http://survivor.wikia.com/wiki/Ashley_Trainer,19
Ashley,Underwood,female,http://survivor.wikia.com/wiki/Ashley_Underwood,22
Aubry,Bracco,female,http://survivor.wikia.com/wiki/Aubry_Bracco,"32, 34"
Austin,Carty,male,http://survivor.wikia.com/wiki/Austin_Carty,12
B.B.,Andersen,male,http://survivor.wikia.com/wiki/B.B._Andersen,1
Baylor,Wilson,female,http://survivor.wikia.com/wiki/Baylor_Wilson,29
Becky,Lee,female,http://survivor.wikia.com/wiki/Becky_Lee,13
Ben,Browning,male,http://survivor.wikia.com/wiki/Ben_Browning,19
Ben,Driebergen,male,http://survivor.wikia.com/wiki/Ben_Driebergen,35
Benry,Henry,male,http://survivor.wikia.com/wiki/Benry_Henry,21
Betsy,Bolan,female,http://survivor.wikia.com/wiki/Betsy_Bolan,19
Bill,Posley,male,http://survivor.wikia.com/wiki/Bill_Posley,24
Billy,Garcia,male,http://survivor.wikia.com/wiki/Billy_Garcia,13
Blake,Towsley,male,http://survivor.wikia.com/wiki/Blake_Towsley,11
Bob,Crowley,male,http://survivor.wikia.com/wiki/Bob_Crowley,17
Bobby,Jon Drinkard,male,http://survivor.wikia.com/wiki/Bobby_Jon_Drinkard,"10, 11"
Bobby,Mason,male,http://survivor.wikia.com/wiki/Bobby_Mason,12
Boo,Bernis,male,http://survivor.wikia.com/wiki/Boo_Bernis,14
Brad,Culpepper,male,http://survivor.wikia.com/wiki/Brad_Culpepper,"27, 34"
Brad,Virata,male,http://survivor.wikia.com/wiki/Brad_Virata,13
Bradley,Kleihege,male,http://survivor.wikia.com/wiki/Bradley_Kleihege,36
Brady,Finta,male,http://survivor.wikia.com/wiki/Brady_Finta,9
Brandon,Bellinger,male,http://survivor.wikia.com/wiki/Brandon_Bellinger,11
Brandon,Hantz,male,http://survivor.wikia.com/wiki/Brandon_Hantz,"23, 26"
Brandon,Quinton,male,http://survivor.wikia.com/wiki/Brandon_Quinton,3
Brenda,Lowe,female,http://survivor.wikia.com/wiki/Brenda_Lowe,"21, 26"
Brendan,Shapiro,male,http://survivor.wikia.com/wiki/Brendan_Shapiro,36
Brendan,Synnott,female,http://survivor.wikia.com/wiki/Brendan_Synnott,18
